run_date,session_date,list,ticker,price,dist_pct,rel_volume
2026-07-01,2026-07-01,Near,NASDAQ:ACGL,98.55,4.68,0.7
2026-07-01,2026-07-01,Near,NASDAQ:ACHC,31.25,0.32,0.82
2026-07-01,2026-07-01,Near,NASDAQ:ACIW,52.53,3.22,0.6
2026-07-01,2026-07-01,Near,NASDAQ:ACT,45.39,1.33,0.93
2026-07-01,2026-07-01,Near,NASDAQ:ADPT,22.37,0.75,0.64
2026-07-01,2026-07-01,Near,NASDAQ:AEP,135.05,3.15,0.71
2026-07-01,2026-07-01,Near,NASDAQ:ALGT,119.16,3.22,0.88
2026-07-01,2026-07-01,Near,NASDAQ:ALHC,24.01,0.44,0.8
2026-07-01,2026-07-01,Near,NASDAQ:AMRX,16.97,4.98,0.62
2026-07-01,2026-07-01,Near,NASDAQ:APGE,132.77,0.29,0.35
2026-07-01,2026-07-01,Near,NASDAQ:ARWR,80.44,4.86,0.51
2026-07-01,2026-07-01,Near,NASDAQ:ARXS,46.55,4.38,1.46
2026-07-01,2026-07-01,Near,NASDAQ:ASND,267.79,1.51,0.41
2026-07-01,2026-07-01,Near,NASDAQ:ASTH,49.81,1.58,1.94
2026-07-01,2026-07-01,Near,NASDAQ:ATEX,108.205,0.37,0.85
2026-07-01,2026-07-01,Near,NASDAQ:BANR,67.83,2.86,0.84
2026-07-01,2026-07-01,Near,NASDAQ:BATRA,56.97,1.49,0.56
2026-07-01,2026-07-01,Near,NASDAQ:BELFA,281.67,4.03,1.4
2026-07-01,2026-07-01,Near,NASDAQ:BHF,63.88,3.69,0.94
2026-07-01,2026-07-01,Near,NASDAQ:BIIB,209.74,4.54,0.81
2026-07-01,2026-07-01,Near,NASDAQ:BLBD,77.88,4.45,0.93
2026-07-01,2026-07-01,Near,NASDAQ:BOKF,141.24,0.23,0.73
2026-07-01,2026-07-01,Near,NASDAQ:BPOP,168.5,0.38,0.75
2026-07-01,2026-07-01,Near,NASDAQ:BTSG,69.85,1.23,0.87
2026-07-01,2026-07-01,Near,NASDAQ:BUSE,30.17,0.3,0.88
2026-07-01,2026-07-01,Near,NASDAQ:CACC,655.72,1.16,0.63
2026-07-01,2026-07-01,Near,NASDAQ:CAKE,79.64,1.59,0.88
2026-07-01,2026-07-01,Near,NASDAQ:CATY,63.28,0.14,0.79
2026-07-01,2026-07-01,Near,NASDAQ:CBC,31.36,0.1,0.82
2026-07-01,2026-07-01,Near,NASDAQ:CCEP,106.1,4.33,1.43
2026-07-01,2026-07-01,Near,NASDAQ:CENT,44.35,3.12,0.69
2026-07-01,2026-07-01,Near,NASDAQ:CGNX,71.305,2.16,1.26
2026-07-01,2026-07-01,Near,NASDAQ:CHEF,95.36,2.33,0.54
2026-07-01,2026-07-01,Near,NASDAQ:CINF,187.21,0.31,0.65
2026-07-01,2026-07-01,Near,NASDAQ:CLBK,21.27,1.48,0.77
2026-07-01,2026-07-01,Near,NASDAQ:CLOV,5.39,3.58,1.0
2026-07-01,2026-07-01,Near,NASDAQ:CMPR,103.92,2.08,0.59
2026-07-01,2026-07-01,Near,NASDAQ:COLB,32.51,0.64,0.93
2026-07-01,2026-07-01,Near,NASDAQ:CORT,88.48,2.77,1.01
2026-07-01,2026-07-01,Near,NASDAQ:CPRX,31.44,3.44,0.34
2026-07-01,2026-07-01,Near,NASDAQ:CROX,124.17,4.33,1.1
2026-07-01,2026-07-01,Near,NASDAQ:CRWD,772.74,1.69,0.83
2026-07-01,2026-07-01,Near,NASDAQ:CSX,48.33,0.5,0.95
2026-07-01,2026-07-01,Near,NASDAQ:CVBF,23.11,0.37,0.86
2026-07-01,2026-07-01,Near,NASDAQ:CYTK,85.26,3.45,0.63
2026-07-01,2026-07-01,Near,NASDAQ:CZR,30.41,3.7,1.18
2026-07-01,2026-07-01,Near,NASDAQ:DGII,74.12,3.0,0.9
2026-07-01,2026-07-01,Near,NASDAQ:DHC,9.24,4.35,0.53
2026-07-01,2026-07-01,Near,NASDAQ:DNLI,25.98,1.42,0.52
2026-07-01,2026-07-01,Near,NASDAQ:DRH,11.93,4.86,1.33
2026-07-01,2026-07-01,Near,NASDAQ:EA,205.45,0.27,0.68
2026-07-01,2026-07-01,Near,NASDAQ:EBC,22.63,0.55,0.29
2026-07-01,2026-07-01,Near,NASDAQ:ECPG,93.79,0.86,1.13
2026-07-01,2026-07-01,Near,NASDAQ:EFSC,66.9,0.93,0.68
2026-07-01,2026-07-01,Near,NASDAQ:ESTA,89.23,1.4,1.14
2026-07-01,2026-07-01,Near,NASDAQ:EVRG,86.19,1.58,0.96
2026-07-01,2026-07-01,Near,NASDAQ:EWBC,130.7,3.89,0.91
2026-07-01,2026-07-01,Near,NASDAQ:EXEL,53.96,3.49,0.55
2026-07-01,2026-07-01,Near,NASDAQ:EZPW,35.53,4.3,1.13
2026-07-01,2026-07-01,Near,NASDAQ:FA,18.895,0.63,0.76
2026-07-01,2026-07-01,Near,NASDAQ:FBNC,65.35,1.07,1.06
2026-07-01,2026-07-01,Near,NASDAQ:FCNCA,2121.63,4.95,0.99
2026-07-01,2026-07-01,Near,NASDAQ:FFBC,34.67,0.09,1.11
2026-07-01,2026-07-01,Near,NASDAQ:FFIV,424.18,0.79,0.88
2026-07-01,2026-07-01,Near,NASDAQ:FIBK,39.26,0.17,1.02
2026-07-01,2026-07-01,Near,NASDAQ:FLYW,18.56,1.49,1.43
2026-07-01,2026-07-01,Near,NASDAQ:FRME,44.29,0.47,0.88
2026-07-01,2026-07-01,Near,NASDAQ:FROG,90.39,2.93,0.59
2026-07-01,2026-07-01,Near,NASDAQ:FTDR,78.44,2.01,0.99
2026-07-01,2026-07-01,Near,NASDAQ:FTNT,158.98,0.51,0.62
2026-07-01,2026-07-01,Near,NASDAQ:FULT,24.46,0.37,0.83
2026-07-01,2026-07-01,Near,NASDAQ:GCMG,12.71,3.86,0.81
2026-07-01,2026-07-01,Near,NASDAQ:GH,170.77,1.06,1.57
2026-07-01,2026-07-01,Near,NASDAQ:GSAT,80.96,4.41,0.51
2026-07-01,2026-07-01,Near,NASDAQ:HTO,60.74,1.83,1.3
2026-07-01,2026-07-01,Near,NASDAQ:HWC,75.66,0.94,0.87
2026-07-01,2026-07-01,Near,NASDAQ:IBKR,93.25,4.69,1.49
2026-07-01,2026-07-01,Near,NASDAQ:IBOC,77.02,1.84,0.72
2026-07-01,2026-07-01,Near,NASDAQ:ICHR,111.77,1.59,1.85
2026-07-01,2026-07-01,Near,NASDAQ:ILMN,183.89,0.55,1.03
2026-07-01,2026-07-01,Near,NASDAQ:IMVT,38.14,2.9,0.39
2026-07-01,2026-07-01,Near,NASDAQ:INCY,113.81,1.89,0.77
2026-07-01,2026-07-01,Near,NASDAQ:INDB,85.0,2.3,0.76
2026-07-01,2026-07-01,Near,NASDAQ:IRDM,55.72,1.57,0.79
2026-07-01,2026-07-01,Near,NASDAQ:JAZZ,237.51,2.39,0.93
2026-07-01,2026-07-01,Near,NASDAQ:JBHT,290.07,1.66,1.05
2026-07-01,2026-07-01,Near,NASDAQ:KLIC,133.81,1.47,0.89
2026-07-01,2026-07-01,Near,NASDAQ:KNSA,62.885,2.97,0.47
2026-07-01,2026-07-01,Near,NASDAQ:KRYS,371.58,2.86,0.6
2026-07-01,2026-07-01,Near,NASDAQ:KYIV,15.91,3.46,1.99
2026-07-01,2026-07-01,Near,NASDAQ:LAMR,156.64,1.29,0.7
2026-07-01,2026-07-01,Near,NASDAQ:LAUR,37.34,2.46,0.72
2026-07-01,2026-07-01,Near,NASDAQ:LFST,11.43,0.44,1.0
